,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
43,DKJ11 Rusun Penjaringan,2025-03-06,23.349166666666665,-6.12798,106.79634,24.855919,28.474814880832024,26.83826674617273
44,DKJ11 Rusun Penjaringan,2025-03-06,23.349166666666665,-6.12798,106.79634,24.736683,28.76130246877205,27.057185568729214
45,DKJ11 Rusun Penjaringan,2025-03-06,23.349166666666665,-6.12798,106.79634,24.736683,28.76130246877205,27.057185568729214
46,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.094166666666666,-6.1784,106.88775,28.86347,26.780601971053457,24.2005149718574
47,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.094166666666666,-6.1784,106.88775,28.86347,26.780601971053457,24.2005149718574
48,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.094166666666666,-6.1784,106.88775,28.330563,26.801487719845724,24.00142923112501
49,DKJ12 Jakarta Equestrian Pulomas,2025-03-06,21.094166666666666,-6.1784,106.88775,28.330563,26.801487719845724,24.00142923112501
50,DKJ13 PPOP Ragunan,2025-03-06,32.725,-6.30579,106.82693,38.053932,35.61816062503391,36.35811473931226
51,DKJ13 PPOP Ragunan,2025-03-06,32.725,-6.30579,106.82693,38.052177,35.56974780188666,36.392302476038985
52,DKJ14 Pulau Panggang,2025-03-06,3.7716666666666665,-5.73882,106.60145,3.7643373,8.919114270485613,4.210080289926335
53,DKJ14 Pulau Panggang,2025-03-06,3.7716666666666665,-5.73882,106.60145,3.7643373,8.919114270485613,4.210080289926335
54,DKJ14 Pulau Panggang,2025-03-06,3.7716666666666665,-5.73882,106.60145,3.7643373,8.879421290687633,4.210080289926335
55,DKJ14 Pulau Panggang,2025-03-06,3.7716666666666665,-5.73882,106.60145,3.7643373,8.879421290687633,4.210080289926335
56,DKJ16 Hutan Kota Srengseng,2025-03-06,36.245416666666664,-6.21049,106.76437,31.747946,35.767534268697105,33.10726853003746
57,DKJ16 Hutan Kota Srengseng,2025-03-06,36.245416666666664,-6.21049,106.76437,31.65302,35.60391883956061,33.07875417832595
58,DKJ17 Jl. DI Panjaitan,2025-03-06,48.6325,-6.23333,106.87659,35.048546,35.30176065656873,35.272160634864726
